METER_ID,VENDOR,PAY_POLICY,PRE_PAY,PARK_NO_PAY,GREEN_DOME,TOW_AWAY,STREET_CLEANING,DIR,BLK_NO,STREET,LOCK_,LOCK__,LONGITUDE,LATITUDE,TRAVEL_DIRECTION,FROM_INTERSECTION,TO_INTERSECTION,SPACE_NUMBER,NUMBEROFSPACES,METER_TYPE,HAS_SENSOR,G_DISTRICT,G_PASSPORT_ZONES,G_PM_ZONE,G_SUBZONE,G_ZONE,BASE_RATE,POLE_MOUNT,YOKE,HOUSING_TYPE,HOUSING_MANUFACTURER,SIDEWALKGE,COIN_SLOTLE,METER_CONDITION,PERMIT_RATE,INSTALLED_ON,PURCHASED_DATE,METER_STATE,SPACE_STATE,shape_wkt,POINT_X,POINT_Y
450011,Parkeon,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,N,BERK,NEWBURY ST B-C,1,,-71.074972000000002,42.351761000000003,,,,11,1,MULTI-SPACE STALL,NO,DISTRICT 0,,,0MS,MS,0.250000000000000,,,,,,,,,1/1/2017 12:00:00 AM,,ACTIVE,ACTIVE,POINT (-71.074971999999946 42.351761000000067),-71.074971999999946,42.351761000000067
450012,Parkeon,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,S,BERK,NEWBURY ST B-C,1,,-71.075241000000005,42.351458000000001,,,,12,1,MULTI-SPACE STALL,NO,DISTRICT 0,,,0MS,MS,0.250000000000000,,,,,,,,,1/1/2017 12:00:00 AM,,ACTIVE,ACTIVE,POINT (-71.075240999999949 42.351458000000036),-71.075240999999949,42.351458000000036
450013,Parkeon,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,N,CLAR,NEWBURY ST C-D,1,,-71.076327000000006,42.351385000000001,,,,13,1,MULTI-SPACE STALL,NO,DISTRICT 0,,,0MS,MS,0.250000000000000,,,,,,,,,1/1/2017 12:00:00 AM,,ACTIVE,ACTIVE,POINT (-71.076326999999935 42.35138500000005),-71.076326999999935,42.351385000000050
450014,Parkeon,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,S,CLAR,NEWBURY ST C-D,1,,-71.076031999999998,42.351284000000000,,,,14,1,MULTI-SPACE STALL,NO,DISTRICT 0,,,0MS,MS,0.250000000000000,,,,,,,,,1/1/2017 12:00:00 AM,,ACTIVE,ACTIVE,POINT (-71.076031999999941 42.351284000000078),-71.076031999999941,42.351284000000078
450015,Parkeon,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,N,CLAR,NEWBURY ST C-D,1,,-71.076829000000004,42.351244999999999,,,,15,1,MULTI-SPACE STALL,NO,DISTRICT 0,,891,0MS,MS,0.250000000000000,,,,,,,,,1/1/2017 12:00:00 AM,,ACTIVE,ACTIVE,POINT (-71.076828999999975 42.351245000000063),-71.076828999999975,42.351245000000063
450016,Parkeon,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,S,CLAR,NEWBURY ST C-D,1,,-71.076757000000001,42.351073999999997,,,,16,1,MULTI-SPACE STALL,NO,DISTRICT 0,,,0MS,MS,0.250000000000000,,,,,,,,,1/1/2017 12:00:00 AM,,ACTIVE,ACTIVE,POINT (-71.07675699899994 42.35107400000004),-71.076756998999940,42.351074000000040
450017,Parkeon,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,N,CLAR,NEWBURY ST C-D,1,,-71.077270999999996,42.351131000000002,,,,17,1,MULTI-SPACE STALL,NO,DISTRICT 0,,,0MS,MS,0.250000000000000,,,,,,,,,1/1/2017 12:00:00 AM,,ACTIVE,ACTIVE,POINT (-71.077270999999939 42.351131000000066),-71.077270999999939,42.351131000000066
450018,Parkeon,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,S,CLAR,NEWBURY ST C-D,1,,-71.077150000000003,42.350968000000002,,,,18,1,MULTI-SPACE STALL,NO,DISTRICT 0,,892,0MS,MS,0.250000000000000,,,,,,,,,1/1/2017 12:00:00 AM,,ACTIVE,ACTIVE,POINT (-71.077149999999961 42.35096800000008),-71.077149999999961,42.350968000000080
450019,Parkeon,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,N,DART,NEWBURY ST D-E,1,,-71.078705999999997,42.350686000000003,,,,19,1,MULTI-SPACE STALL,NO,DISTRICT 0,,,0MS,MS,0.250000000000000,,,,,,,,,1/1/2017 12:00:00 AM,,ACTIVE,ACTIVE,POINT (-71.078705999999954 42.350686000000053),-71.078705999999954,42.350686000000053
450020,Parkeon,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,S,DART,NEWBURY ST D-E,1,,-71.078187000000000,42.350707999999997,,,,20,1,MULTI-SPACE STALL,NO,DISTRICT 0,,,0MS,MS,0.250000000000000,,,,,,,,,1/1/2017 12:00:00 AM,,ACTIVE,ACTIVE,POINT (-71.078186999999957 42.350708000000054),-71.078186999999957,42.350708000000054
450021,Parkeon,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,N,DART,NEWBURY ST D-E,1,,-71.079375999999996,42.350501999999999,,,,21,1,MULTI-SPACE STALL,NO,DISTRICT 0,,894,0MS,MS,0.250000000000000,,,,,,,,,1/1/2017 12:00:00 AM,,ACTIVE,ACTIVE,POINT (-71.079375999999968 42.350502000000063),-71.079375999999968,42.350502000000063
450022,Parkeon,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,S,DART,NEWBURY ST D-E,1,,-71.078942999999995,42.350504999999998,,,,22,1,MULTI-SPACE STALL,NO,DISTRICT 0,,,0MS,MS,0.250000000000000,,,,,,,,,1/1/2017 12:00:00 AM,,ACTIVE,ACTIVE,POINT (-71.078942999999981 42.350505000000055),-71.078942999999981,42.350505000000055
450024,Parkeon,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,S,DART,NEWBURY ST D-E,1,,-71.079273000000001,42.350414000000001,,,,24,1,MULTI-SPACE STALL,NO,DISTRICT 0,,893,0MS,MS,0.250000000000000,,,,,,,,,1/1/2017 12:00:00 AM,,ACTIVE,ACTIVE,POINT (-71.079272999999944 42.350414000000058),-71.079272999999944,42.350414000000058
450025,Parkeon,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,N,EXET,NEWBURY ST E-F,1,,-71.080832999999998,42.350109000000003,,,,25,1,MULTI-SPACE STALL,NO,DISTRICT 0,,,0MS,MS,0.250000000000000,,,,,,,,,1/1/2017 12:00:00 AM,,ACTIVE,ACTIVE,POINT (-71.080832999999984 42.350109000000032),-71.080832999999984,42.350109000000032
450027,Parkeon,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,N,EXET,NEWBURY ST E-F,1,,-71.081197000000003,42.350008000000003,,,,27,1,MULTI-SPACE STALL,NO,DISTRICT 0,,,0MS,MS,0.250000000000000,,,,,,,,,1/1/2017 12:00:00 AM,,ACTIVE,ACTIVE,POINT (-71.081196999999975 42.350008000000059),-71.081196999999975,42.350008000000059
450028,Parkeon,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,S,EXET,NEWBURY ST E-F,1,,-71.080449999999999,42.350101000000002,,,,28,1,MULTI-SPACE STALL,NO,DISTRICT 0,,,0MS,MS,0.250000000000000,,,,,,,,,1/1/2017 12:00:00 AM,,ACTIVE,ACTIVE,POINT (-71.080449999999985 42.350101000000052),-71.080449999999985,42.350101000000052
450029,Parkeon,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,N,EXET,NEWBURY ST E-F,1,,-71.081681000000003,42.349891000000000,,,,29,1,MULTI-SPACE STALL,NO,DISTRICT 0,,895,0MS,MS,0.250000000000000,,,,,,,,,1/1/2017 12:00:00 AM,,ACTIVE,ACTIVE,POINT (-71.081680999999946 42.349891000000071),-71.081680999999946,42.349891000000071
